record_id,dataset,mutation_family,split,reason,source_task,execution_failure_type
mutation::mbpp_530_mut_06494,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_530_mut_06494,reference_invalid
mutation::mbpp_530_mut_06495,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_530_mut_06495,reference_invalid
mutation::mbpp_530_mut_06496,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_530_mut_06496,reference_invalid
mutation::mbpp_530_mut_06497,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_530_mut_06497,reference_invalid
mutation::mbpp_530_mut_06498,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_530_mut_06498,reference_invalid
mutation::mbpp_531_mut_06499,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06499,reference_invalid
mutation::mbpp_531_mut_06500,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06500,reference_invalid
mutation::mbpp_531_mut_06501,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06501,reference_invalid
mutation::mbpp_531_mut_06502,mbpp,off_by_one,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06502,reference_invalid
mutation::mbpp_531_mut_06503,mbpp,return,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06503,reference_invalid
mutation::mbpp_531_mut_06504,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06504,reference_invalid
mutation::mbpp_531_mut_06505,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06505,reference_invalid
mutation::mbpp_531_mut_06506,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06506,reference_invalid
mutation::mbpp_531_mut_06507,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06507,reference_invalid
mutation::mbpp_531_mut_06508,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06508,reference_invalid
mutation::mbpp_531_mut_06509,mbpp,logical,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06509,reference_invalid
mutation::mbpp_531_mut_06511,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06511,reference_invalid
mutation::mbpp_531_mut_06512,mbpp,off_by_one,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06512,reference_invalid
mutation::mbpp_531_mut_06514,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06514,reference_invalid
mutation::mbpp_531_mut_06515,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_531_mut_06515,reference_invalid
mutation::mbpp_644_mut_07378,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_644_mut_07378,reference_invalid
mutation::mbpp_644_mut_07379,mbpp,off_by_one,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_644_mut_07379,reference_invalid
mutation::mbpp_644_mut_07380,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_644_mut_07380,reference_invalid
mutation::mbpp_644_mut_07381,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_644_mut_07381,reference_invalid
mutation::mbpp_644_mut_07382,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_644_mut_07382,reference_invalid
mutation::mbpp_644_mut_07383,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_644_mut_07383,reference_invalid
mutation::mbpp_644_mut_07384,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_644_mut_07384,reference_invalid
mutation::mbpp_644_mut_07385,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_644_mut_07385,reference_invalid
mutation::mbpp_663_mut_07519,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_663_mut_07519,reference_invalid
mutation::mbpp_663_mut_07521,mbpp,off_by_one,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_663_mut_07521,reference_invalid
mutation::mbpp_663_mut_07522,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_663_mut_07522,reference_invalid
mutation::mbpp_663_mut_07523,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_663_mut_07523,reference_invalid
mutation::mbpp_663_mut_07524,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_663_mut_07524,reference_invalid
mutation::mbpp_663_mut_07525,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_663_mut_07525,reference_invalid
mutation::mbpp_663_mut_07526,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_663_mut_07526,reference_invalid
mutation::mbpp_663_mut_07528,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_663_mut_07528,reference_invalid
mutation::mbpp_676_mut_07598,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_676_mut_07598,reference_invalid
mutation::mbpp_717_mut_07907,mbpp,off_by_one,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07907,reference_invalid
mutation::mbpp_717_mut_07909,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07909,reference_invalid
mutation::mbpp_717_mut_07910,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07910,reference_invalid
mutation::mbpp_717_mut_07911,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07911,reference_invalid
mutation::mbpp_717_mut_07913,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07913,reference_invalid
mutation::mbpp_717_mut_07914,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07914,reference_invalid
mutation::mbpp_717_mut_07918,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07918,reference_invalid
mutation::mbpp_717_mut_07919,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07919,reference_invalid
mutation::mbpp_717_mut_07921,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07921,reference_invalid
mutation::mbpp_717_mut_07922,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07922,reference_invalid
mutation::mbpp_717_mut_07924,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_717_mut_07924,reference_invalid
mutation::mbpp_829_mut_08791,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_829_mut_08791,reference_invalid
mutation::mbpp_829_mut_08792,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_829_mut_08792,reference_invalid
mutation::mbpp_829_mut_08793,mbpp,boolean,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_829_mut_08793,reference_invalid
mutation::mbpp_829_mut_08794,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_829_mut_08794,reference_invalid
mutation::mbpp_832_mut_08808,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_832_mut_08808,reference_invalid
mutation::mbpp_836_mut_08874,mbpp,comparison,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08874,reference_invalid
mutation::mbpp_836_mut_08876,mbpp,boundary,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08876,reference_invalid
mutation::mbpp_836_mut_08877,mbpp,off_by_one,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08877,reference_invalid
mutation::mbpp_836_mut_08878,mbpp,boundary,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08878,reference_invalid
mutation::mbpp_836_mut_08879,mbpp,arithmetic,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08879,reference_invalid
mutation::mbpp_836_mut_08881,mbpp,arithmetic,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08881,reference_invalid
mutation::mbpp_836_mut_08882,mbpp,boundary,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08882,reference_invalid
mutation::mbpp_836_mut_08884,mbpp,arithmetic,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08884,reference_invalid
mutation::mbpp_836_mut_08886,mbpp,arithmetic,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08886,reference_invalid
mutation::mbpp_836_mut_08888,mbpp,off_by_one,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08888,reference_invalid
mutation::mbpp_836_mut_08891,mbpp,comparison,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08891,reference_invalid
mutation::mbpp_836_mut_08893,mbpp,off_by_one,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08893,reference_invalid
mutation::mbpp_836_mut_08896,mbpp,boundary,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08896,reference_invalid
mutation::mbpp_836_mut_08897,mbpp,boundary,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_836_mut_08897,reference_invalid
mutation::mbpp_900_mut_09494,mbpp,return,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_900_mut_09494,reference_invalid
mutation::mbpp_900_mut_09496,mbpp,boolean,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_900_mut_09496,reference_invalid
mutation::mbpp_913_mut_09665,mbpp,boolean,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_913_mut_09665,reference_invalid
mutation::mbpp_913_mut_09666,mbpp,return,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_913_mut_09666,reference_invalid
mutation::mbpp_913_mut_09668,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_913_mut_09668,reference_invalid
mutation::mbpp_913_mut_09670,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_913_mut_09670,reference_invalid
mutation::mbpp_938_mut_09939,mbpp,boundary,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09939,reference_invalid
mutation::mbpp_938_mut_09940,mbpp,arithmetic,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09940,reference_invalid
mutation::mbpp_938_mut_09941,mbpp,off_by_one,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09941,reference_invalid
mutation::mbpp_938_mut_09942,mbpp,logical,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09942,reference_invalid
mutation::mbpp_938_mut_09943,mbpp,comparison,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09943,reference_invalid
mutation::mbpp_938_mut_09944,mbpp,comparison,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09944,reference_invalid
mutation::mbpp_938_mut_09945,mbpp,boundary,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09945,reference_invalid
mutation::mbpp_938_mut_09946,mbpp,boundary,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09946,reference_invalid
mutation::mbpp_938_mut_09947,mbpp,comparison,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09947,reference_invalid
mutation::mbpp_938_mut_09948,mbpp,boundary,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09948,reference_invalid
mutation::mbpp_938_mut_09949,mbpp,comparison,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09949,reference_invalid
mutation::mbpp_938_mut_09950,mbpp,comparison,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09950,reference_invalid
mutation::mbpp_938_mut_09951,mbpp,boundary,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09951,reference_invalid
mutation::mbpp_938_mut_09954,mbpp,logical,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09954,reference_invalid
mutation::mbpp_938_mut_09956,mbpp,arithmetic,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09956,reference_invalid
mutation::mbpp_938_mut_09957,mbpp,comparison,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09957,reference_invalid
mutation::mbpp_938_mut_09959,mbpp,arithmetic,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09959,reference_invalid
mutation::mbpp_938_mut_09960,mbpp,arithmetic,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09960,reference_invalid
mutation::mbpp_938_mut_09961,mbpp,off_by_one,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09961,reference_invalid
mutation::mbpp_938_mut_09962,mbpp,comparison,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09962,reference_invalid
mutation::mbpp_938_mut_09964,mbpp,boundary,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09964,reference_invalid
mutation::mbpp_938_mut_09965,mbpp,arithmetic,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09965,reference_invalid
mutation::mbpp_938_mut_09966,mbpp,off_by_one,test,no_current-policy-reference-valid-mutation-killing-test,mbpp_938_mut_09966,reference_invalid
